0xbef
0xe45
0x1b5c
0x1cf6
0x1d97
0x1e44
0x1f30
0x1fe1
0x3752
0x37d2
0x387d
0x3a7e
0x3b81
0x3c5a
0x3dfd
0x419a
0x13c7
