0x110d
0x1688
0x1783
0x1a2b
0x22f7
0x24d1
0x25c9
0x26cd
0x27c5
0x2b08
0x2c11
0x2e13
0x2eec
0x2f9d
0x3f16
0x45f5
0x49d0
0x4a80
0x4b86
0x4c1a
0x4d14
0x4e11
