0xbd4
0xf6e
0x1686
0x1741
0x17fc
0x18b7
0x195f
0x21d0
0x228b
0x2346
0x2401
0x24a9
0x2aa7
0x2bee
0x2ca9
0x2d64
0x2e1f
0x2ec7
