0x1f70
0x2ad4
0x2c9f
0x2e85
0x3009
0x3351
0x35c2
0x3875
0x3afd
0x3bf3
0x3fbe
0x404e
0x42d5
0x4370
0x4709
0x484d
0x4958
0x21e9
