0xbd8
0xcb4
0xd49
0xdb8
0xe1d
0xe8c
0xf01
0xf78
0xfed
0x107c
0x1100
0x11fd
0x1277
0x12f9
0x1353
0x13ca
0x14cc
0x15ff
0x169a
0x1733
0x1791
0x1800
0x185e
0x18cd
0x192b
0x199a
0x19f8
0x1a67
0x1ac5
0x1cda
0x1d6f
0x1e27
0x2150
0x21cd
0x229a
0x23ba
0x263d
0x287f
0x2950
0x29bc
0x2ac2
0x2b31
0x2b96
0x2cae
0x2d65
0x2dc0
0x309c
0x3164
0x33a1
0x3417
0x34b3
0x3654
0x36cf
0x372c
0x37c5
0x382b
0x38f4
0x39f8
0x3a50
0x20cb
0x351a
