0x91d
0x9f5
0xb98
0x10e1
0x1229
0x1328
0x1488
0x159a
0x16b7
0x1794
0x195a
0x1aa2
0x1ba1
0x1c9f
0x1dd5
0x1f91
0x20a2
0x21bc
0x25ac
0x2697
0xd6e
0xfd0
