0xa8d
0xbdd
0xccb
0xdad
0xe58
0x1079
0x118c
0x1218
0x28a6
0x2428
0x2371
0x1e7a
0x1bf2
0x1a99
0x199b
0x1832
0x1759
0x166a
0x1501
0x1428
0x12de
