0xd69
0xeb0
0x1289
0x1331
0x15de
0x16e3
0x17f0
0x18fd
0x1a0a
0x1b17
0x1c24
0x241c
0x2588
0x273a
0x28c4
0x2a30
0x2be2
0x2e3f
0x2f90
0x311e
0x21af
