0xe89
0x1079
0x1414
0x150c
0x162a
0x1715
0x1781
0x1897
0x19c5
0x1ab4
0x1c0d
0x1e16
0x1f17
0x1ff0
0x2110
0x21e9
0x2305
0x2454
0x254b
0x2641
0x2795
0x28dc
0x2a6e
0x2acf
0x2c1d
0x2d0d
0x2e2b
0x30be
0x32ad
0x339f
0x347c
0x355e
0x35ca
0x36d6
0x37e9
0x3886
0x391d
0x3a10
0x3b04
0x3b93
0x11e3
0x12b9
0x1d2e
