0xd34
0xe19
0xeb4
0x142a
0x1a8a
0x1b8a
0x1d94
0x1e58
0x1ef3
0x2060
0x2192
0x2300
0x2608
0x27d1
0x286c
0x2ce8
0x3071
0x39fc
0x3f9a
0x42e7
0x4416
0x4519
0x484f
0xc44
0x114f
0x245f
0x2f02
