0xc7d
0xd59
0xdee
0xe5d
0xec2
0xf31
0xfa6
0x101d
0x1092
0x1121
0x11a4
0x1226
0x1280
0x12f7
0x13f9
0x1538
0x15d3
0x166c
0x16ca
0x1739
0x1797
0x1806
0x1864
0x18d3
0x1931
0x19a0
0x19fe
0x1cb3
0x1d48
0x1e00
0x2001
0x2102
0x21a3
0x22c1
0x23c4
0x2491
0x25b1
0x2834
0x2a76
0x2b47
0x2bb3
0x2cb9
0x2d28
0x2d8d
0x2ea5
0x2f5c
0x2fb7
0x3293
0x335b
0x3598
0x360e
0x36aa
0x384b
0x38c6
0x3923
0x39bc
0x3a22
0x3aeb
0x3bef
0x3c47
0x2340
0x3711
