0xa6c
0xd0a
0xe7f
0x1574
0x1a0a
0x2950
0x2aef
0x338d
0x3411
0x3515
0x35b5
0x37f9
0x3a5e
0x3c4b
0x3cd4
0x4192
0x449d
0x4521
0x4655
0x46d9
0x478e
0x42b2
