0x26d
0x32e
0x54b
0x770
0x9d7
0xa45
0xb51
0xbe0
0xde0
0x1097
0x11c9
0x129d
0x157e
0x1617
0x1741
0x17c2
0x1841
0x1942
0x19c0
0x1a5e
0x1ae9
0x1c04
0x1cbf
