0xe34
0xf19
0xfb4
0x1205
0x16cf
0x1d2f
0x1e2f
0x1f58
0x1ff3
0x2160
0x2292
0x2400
0x2777
0x2a28
0x2ac3
0x2fef
0x3426
0x3b18
0x3b5e
0x3d39
0x42f4
0x4631
0xce9
0x13f4
0x255f
0x327b
