0x10fe
0x1653
0x17b1
0x195a
0x1995
0x1dd7
0x23b9
0x2945
0x2de2
0x2e8e
0x342c
0x3edd
0x3f91
0x4040
0x412e
0x4198
0x42a3
0x4383
0x4431
