0x11e6
0x1455
0x1612
0x17e4
0x1a9b
0x1bd9
0x1c94
0x2bb3
0x2f73
0x300d
0x334c
0x37e6
0x3948
0x3ce8
0x3d7a
0x3e30
0x435d
0x4632
0x4d89
