0xd8f
0xe74
0xf0f
0x1485
0x1ae5
0x1be5
0x1def
0x1eb3
0x1f4e
0x20bb
0x21ed
0x235b
0x261b
0x27e4
0x287f
0x2d0b
0x3094
0x3908
0x3a9b
0x4039
0x4386
0x44d1
0x4807
0xc44
0x11aa
0x24ba
0x2f25
