0xb3c
0xc1a
0xcb3
0xd58
0xe10
0xea7
0xf36
0xfdb
0x106b
0x1123
0x1200
0x12a3
0x147f
0x18d7
0x19c2
0x1c1f
0x1e50
0x2080
0x212e
0x21ba
0x227c
0x230c
0x23ce
0x2483
0x2571
0x2681
0x2711
0x27fa
0x287a
0x2af3
0x2b68
0x2c06
0x2cae
0x2d4f
0x2de4
0x2e7b
0x162c
0x1588
0x1eef
0x2a30
