0x12dc
0x1475
0x160a
0x1748
0x1a8d
0x1d9e
0x1ffc
0x234e
0x24c6
0x2729
0x291a
0x2dfd
0x303e
0x35c7
0x37b5
0x38a1
0x3ae3
0x3ddf
0x44e4
0x45fc
0x479b
0x4882
0x4950
0x4b91
0x4c32
0x4e06
0x54e6
0x5a76
0xeb4
0x3cbf
0x52eb
0x2b02
0x410d
0x2cd4
0x4247
0x58c3
0x3427
0x55a8
