0xa0d
0xc1a
0xf5d
0x1139
0x11ca
0x1259
0x12e6
0x1377
0x1408
0x1499
0x1617
0x168d
0x1bdf
0x1ec9
0x21d5
0x2368
0x252d
0x2685
0x2795
0x28ff
0x322e
0x33e7
0x343e
