0xd84
0xed1
0xf5c
0xffb
0x108f
0x113a
0x11d1
0x12c2
0x134d
0x13d7
0x146b
0x1516
0x163c
0x1862
0x19a7
0x1db2
0x1ebe
0x1f62
0x20c5
0x23dd
0x2471
0x24fd
0x259f
0x2612
0x26c2
0x27a7
0x2838
0x28d3
0x2942
0x29dc
0x2aa9
0x2b39
0x2bd6
0x2ccc
0x2d5f
0x2ec6
0x2fba
0x308d
0x3121
0x31ad
0x3247
0x32ba
0x3359
0x364f
0x370d
0x37ae
0x3847
0x38c3
