0x9be
0xe6f
0xeef
0xfdc
0x10f6
0x1210
0x1305
0x148e
0x163d
0x1703
0x1a11
0x201d
0x20b2
0x258f
0x2619
0x2711
0x27d9
0x2921
0x2a0e
0x2afc
0x2b90
0x2c19
0x2ca7
0x2d30
0x2db9
0x2e44
0x2ecd
0x2f56
0x2fcf
0x309f
0x3128
0x319a
0x3223
0x32be
0x33af
0x3585
