0x14c2
0x17eb
0x1ff4
0x20f6
0x2455
0x2543
0x2c99
0x2e21
0x2eee
0x3568
0x36b5
0x3818
0x3923
0x3ab1
0x3b78
0x3cf4
0x3ef6
0x3fbe
0x42ac
0x455f
0x465c
0x47fe
0x48fb
0x4c6c
0x4e7e
0x4f71
0x5510
0x59d3
0x5aa0
0x1608
0x4181
0x5813
0x5685
