0x10f2
0x13e9
0x16e9
0x1897
0x1b04
0x1ea0
0x207d
0x221b
0x25d5
0x270b
0x2906
0x2c31
0x2e9b
0x301b
0x320a
0x38ea
0x396a
0x3a9b
0x3de4
0x3f1c
0x41c4
0x43cd
0x44c0
0x4751
0x4abf
0x4b3b
0x4c2b
0x50b3
0x51cf
0x53c4
0x5517
0x2417
